round,loss,accuracy
0,0.677227795124054,0.5912195121951219
1,0.609562337398529,0.7814634146341464
2,0.5513047575950623,0.8214634146341463
3,0.49988114833831787,0.8321951219512195
4,0.45622119307518005,0.8370731707317073
5,0.4216044843196869,0.8439024390243902
6,0.39535364508628845,0.8439024390243902
7,0.3748842179775238,0.8468292682926829
8,0.3589613735675812,0.8546341463414634
9,0.3467716872692108,0.8604878048780488
10,0.3367301821708679,0.8604878048780488
0,0.6701673269271851,0.5629268292682926
1,0.6256896257400513,0.713170731707317
2,0.5865370631217957,0.7590243902439024
3,0.5500496029853821,0.784390243902439
4,0.515982449054718,0.8019512195121952
5,0.48477277159690857,0.817560975609756
6,0.456798255443573,0.8273170731707317
7,0.4326378405094147,0.8429268292682927
8,0.4121802747249603,0.8468292682926829
9,0.39503708481788635,0.8497560975609756
10,0.3807578682899475,0.8575609756097561
0,0.6997687816619873,0.511219512195122
1,0.6115413308143616,0.744390243902439
2,0.5525485277175903,0.8302439024390244
3,0.500218391418457,0.8253658536585365
4,0.4574848711490631,0.8214634146341463
5,0.4247971773147583,0.824390243902439
6,0.4013499915599823,0.8341463414634146
7,0.3843998610973358,0.8370731707317073
8,0.37233519554138184,0.8380487804878048
9,0.3624029755592346,0.8468292682926829
10,0.35456082224845886,0.8478048780487805
0,0.7354373931884766,0.41853658536585364
1,0.7973172068595886,0.4868292682926829
2,0.7160380482673645,0.38146341463414635
3,0.7297537326812744,0.5131707317073171
4,0.7593380808830261,0.5131707317073171
5,0.7881268858909607,0.5131707317073171
6,0.8091729879379272,0.5131707317073171
7,0.8237989544868469,0.5131707317073171
8,0.8315904140472412,0.5131707317073171
9,0.8368387818336487,0.5131707317073171
10,0.8396708369255066,0.5131707317073171
0,0.6607759594917297,0.6673170731707317
1,0.6021183729171753,0.7970731707317074
2,0.5456963181495667,0.8185365853658536
3,0.4956717789173126,0.8224390243902439
4,0.45403942465782166,0.8282926829268292
5,0.42083993554115295,0.833170731707317
6,0.3889770805835724,0.8429268292682927
7,0.3701985478401184,0.8526829268292683
8,0.3553582727909088,0.8634146341463415
9,0.34578487277030945,0.8663414634146341
10,0.33277538418769836,0.8692682926829268
0,0.6806083917617798,0.535609756097561
1,0.7210794687271118,0.5131707317073171
2,0.6638262271881104,0.5190243902439025
3,0.6449773907661438,0.5424390243902439
4,0.6976754665374756,0.52
5,0.6569749116897583,0.5746341463414634
6,0.6554942727088928,0.5912195121951219
7,0.7133342623710632,0.5707317073170731
8,0.6577975749969482,0.6068292682926829
9,0.7034187912940979,0.5921951219512195
10,0.7500687837600708,0.5912195121951219
0,0.7111364006996155,0.5014634146341463
1,0.7037985324859619,0.5151219512195122
2,0.6734394431114197,0.5014634146341463
3,0.54616379737854,0.8097560975609757
4,0.5415862202644348,0.8224390243902439
5,0.5501285195350647,0.7375609756097561
6,0.4682542383670807,0.8253658536585365
7,0.40276411175727844,0.8585365853658536
8,0.3777242600917816,0.8595121951219512
9,0.3591826260089874,0.8663414634146341
10,0.3507949411869049,0.8780487804878049
0,0.6843677163124084,0.5863414634146341
1,0.7692713141441345,0.4868292682926829
2,0.9157837629318237,0.4868292682926829
3,0.6816680431365967,0.5648780487804878
4,0.7533438205718994,0.4868292682926829
5,0.8961573243141174,0.4868292682926829
6,0.7457154989242554,0.4868292682926829
7,0.6894757747650146,0.4868292682926829
8,0.7343010306358337,0.5131707317073171
9,0.6839383840560913,0.5239024390243903
10,0.8392813801765442,0.5131707317073171
0,0.7109715342521667,0.46731707317073173
1,0.6426514983177185,0.6204878048780488
2,0.5836247801780701,0.7482926829268293
3,0.5236861705780029,0.817560975609756
4,0.4714216887950897,0.8351219512195122
5,0.4330826699733734,0.8390243902439024
6,0.4044700562953949,0.8351219512195122
7,0.3826028108596802,0.8409756097560975
8,0.37090304493904114,0.8448780487804878
9,0.36266422271728516,0.8448780487804878
10,0.3483757972717285,0.8536585365853658
0,0.733890950679779,0.4370731707317073
1,0.6570072770118713,0.5736585365853658
2,0.6478227972984314,0.5414634146341464
3,0.5825889706611633,0.6409756097560976
4,0.601050853729248,0.6029268292682927
5,0.562929093837738,0.6634146341463415
6,0.5673685073852539,0.6809756097560976
7,0.5154792666435242,0.728780487804878
8,0.5600898861885071,0.7014634146341463
9,0.5644974112510681,0.7121951219512195
10,0.4797925353050232,0.7668292682926829
0,0.6833440065383911,0.5258536585365854
1,0.6516836285591125,0.631219512195122
2,0.6282213926315308,0.6439024390243903
3,0.6068925261497498,0.7258536585365853
4,0.5826542973518372,0.7473170731707317
5,0.5534966588020325,0.8302439024390244
6,0.5602216124534607,0.7278048780487805
7,0.6007440686225891,0.5365853658536586
8,0.6332221627235413,0.4897560975609756
9,0.6616999506950378,0.4868292682926829
10,0.56901615858078,0.6068292682926829
0,0.6921994090080261,0.5121951219512195
1,0.8044407963752747,0.4868292682926829
2,0.940869152545929,0.4868292682926829
3,0.7663254737854004,0.4868292682926829
4,0.7274653911590576,0.5131707317073171
5,0.7185496091842651,0.4868292682926829
6,0.6894050240516663,0.4926829268292683
7,0.7819422483444214,0.5131707317073171
8,0.9570826292037964,0.5131707317073171
9,0.6684186458587646,0.5463414634146342
10,0.7878841161727905,0.5131707317073171
0,0.6954399347305298,0.5073170731707317
1,0.6505252718925476,0.7053658536585365
2,0.6044935584068298,0.7863414634146342
3,0.5581611394882202,0.806829268292683
4,0.5125303268432617,0.8302439024390244
5,0.46940386295318604,0.8419512195121951
6,0.43246132135391235,0.8458536585365853
7,0.4046420753002167,0.8458536585365853
8,0.3839070796966553,0.8517073170731707
9,0.36892232298851013,0.855609756097561
10,0.35859161615371704,0.855609756097561
0,0.6625121831893921,0.6721951219512196
1,0.6535477638244629,0.671219512195122
2,0.6326552033424377,0.7014634146341463
3,0.614532470703125,0.6848780487804879
4,0.6000359654426575,0.6643902439024391
5,0.5887299180030823,0.6497560975609756
6,0.5788598656654358,0.6429268292682927
7,0.5718002319335938,0.6429268292682927
8,0.565258800983429,0.6526829268292683
9,0.5581709742546082,0.6809756097560976
10,0.5528852939605713,0.686829268292683
0,0.6939321756362915,0.5317073170731708
1,0.7182208895683289,0.4868292682926829
2,0.7474021315574646,0.4868292682926829
3,0.7768740057945251,0.4868292682926829
4,0.8135472536087036,0.4868292682926829
5,0.8465787172317505,0.4868292682926829
6,0.8768543004989624,0.4868292682926829
7,0.9067511558532715,0.4868292682926829
8,0.9303523898124695,0.4868292682926829
9,0.9513413906097412,0.4868292682926829
10,0.9664008617401123,0.4868292682926829
0,0.7204150557518005,0.4526829268292683
1,0.7690199613571167,0.5131707317073171
2,0.8915629386901855,0.5131707317073171
3,1.0172817707061768,0.5131707317073171
4,1.1221203804016113,0.5131707317073171
5,1.2121670246124268,0.5131707317073171
6,1.2904689311981201,0.5131707317073171
7,1.3582934141159058,0.5131707317073171
8,1.415336012840271,0.5131707317073171
9,1.4674147367477417,0.5131707317073171
10,1.5135563611984253,0.5131707317073171
0,0.6575430035591125,0.7014634146341463
1,0.6157267093658447,0.7882926829268293
2,0.5688467025756836,0.8351219512195122
3,0.5240610837936401,0.833170731707317
4,0.4854685962200165,0.8351219512195122
5,0.4547420144081116,0.8360975609756097
6,0.422992080450058,0.8409756097560975
7,0.39713096618652344,0.8439024390243902
8,0.3779132664203644,0.84
9,0.3642534911632538,0.84
10,0.3549407422542572,0.84
0,0.6938000321388245,0.4995121951219512
1,0.6881310343742371,0.48585365853658535
2,0.7656722664833069,0.4868292682926829
3,0.8409541249275208,0.4868292682926829
4,0.9389480352401733,0.4868292682926829
5,1.0199267864227295,0.4868292682926829
6,1.0314730405807495,0.4868292682926829
7,1.0432292222976685,0.4868292682926829
8,1.0754539966583252,0.4868292682926829
9,1.1120398044586182,0.4868292682926829
10,1.1686815023422241,0.4868292682926829
0,0.7086303234100342,0.4302439024390244
1,0.7171840667724609,0.48390243902439023
2,0.7035671472549438,0.4868292682926829
3,0.7175194621086121,0.4868292682926829
4,0.7668468952178955,0.4868292682926829
5,0.8186357021331787,0.4868292682926829
6,0.8678162693977356,0.4868292682926829
7,0.8886212706565857,0.4868292682926829
8,0.9075995683670044,0.4868292682926829
9,0.9610130786895752,0.4868292682926829
10,1.0174227952957153,0.4868292682926829
0,0.7224858999252319,0.3678048780487805
1,0.7106614708900452,0.41268292682926827
2,0.7619350552558899,0.4868292682926829
3,0.880338191986084,0.4868292682926829
4,0.8474538326263428,0.4868292682926829
5,0.8296635746955872,0.4868292682926829
6,0.956953763961792,0.4868292682926829
7,0.9270179271697998,0.4868292682926829
8,1.0355596542358398,0.4868292682926829
9,1.006711721420288,0.4868292682926829
10,0.9667319059371948,0.4868292682926829
0,0.681938648223877,0.5326829268292683
1,0.6837491393089294,0.49560975609756097
2,0.6647312045097351,0.5073170731707317
3,0.6333248615264893,0.5385365853658537
4,0.5921666026115417,0.6390243902439025
5,0.5541543960571289,0.7346341463414634
6,0.5212501883506775,0.7697560975609756
7,0.48652517795562744,0.8273170731707317
8,0.4832158386707306,0.7795121951219512
9,0.4518364667892456,0.8146341463414634
10,0.41994979977607727,0.8409756097560975
0,0.7061792612075806,0.5092682926829268
1,0.6823484897613525,0.5024390243902439
2,0.6272770762443542,0.6965853658536585
3,0.5908133387565613,0.7346341463414634
4,0.5950973629951477,0.6526829268292683
5,0.5573238134384155,0.7004878048780487
6,0.5073150992393494,0.7775609756097561
7,0.5024752020835876,0.7707317073170732
8,0.4554179310798645,0.7951219512195122
9,0.4219265580177307,0.8039024390243903
10,0.39922797679901123,0.8390243902439024
0,0.6887838840484619,0.5717073170731707
1,0.6814132928848267,0.5141463414634146
2,0.6965112686157227,0.5131707317073171
3,0.7361679077148438,0.5131707317073171
4,0.7906078696250916,0.5131707317073171
5,0.843763530254364,0.5131707317073171
6,0.8908822536468506,0.5131707317073171
7,0.9338082671165466,0.5131707317073171
8,0.9797985553741455,0.5131707317073171
9,1.0197279453277588,0.5131707317073171
10,1.0605642795562744,0.5131707317073171
0,0.7268995642662048,0.3590243902439024
1,0.7674006819725037,0.5131707317073171
2,0.7513058185577393,0.5131707317073171
3,0.8880187273025513,0.5131707317073171
4,1.0311743021011353,0.5131707317073171
5,0.8248246908187866,0.5131707317073171
6,0.7093721032142639,0.5131707317073171
7,0.7731885313987732,0.5131707317073171
8,0.9116933345794678,0.5131707317073171
9,0.8394739627838135,0.5131707317073171
10,0.8036002516746521,0.5131707317073171
