round,loss,accuracy
0,0.6942507028579712,0.5131707317073171
1,0.627615749835968,0.6819512195121952
2,0.5709949731826782,0.7541463414634146
3,0.5202509164810181,0.8029268292682927
4,0.47623780369758606,0.8204878048780487
5,0.4395112693309784,0.8351219512195122
6,0.4098193943500519,0.8409756097560975
7,0.38644593954086304,0.8448780487804878
8,0.3680359125137329,0.8517073170731707
9,0.3533739149570465,0.8517073170731707
10,0.341713547706604,0.8663414634146341
0,0.7304532527923584,0.38146341463414635
1,0.6706981658935547,0.6351219512195122
2,0.618499755859375,0.7541463414634146
3,0.5717628598213196,0.8078048780487805
4,0.5276355147361755,0.8263414634146341
5,0.4843166768550873,0.833170731707317
6,0.4473378360271454,0.8409756097560975
7,0.4167802631855011,0.8448780487804878
8,0.3940843939781189,0.8497560975609756
9,0.37629032135009766,0.855609756097561
10,0.3611126244068146,0.855609756097561
0,0.6644055843353271,0.6351219512195122
1,0.6108276844024658,0.7863414634146342
2,0.5613475441932678,0.8107317073170732
3,0.5161457061767578,0.8292682926829268
4,0.4716688394546509,0.8468292682926829
5,0.4361986219882965,0.8614634146341463
6,0.40729624032974243,0.855609756097561
7,0.3842307925224304,0.8526829268292683
8,0.3680647909641266,0.8575609756097561
9,0.35309502482414246,0.8634146341463415
10,0.34164485335350037,0.8634146341463415
0,0.6583128571510315,0.6478048780487805
1,0.6199211478233337,0.7258536585365853
2,0.5824717879295349,0.7795121951219512
3,0.5432910323143005,0.7990243902439025
4,0.502197265625,0.833170731707317
5,0.4645056426525116,0.848780487804878
6,0.43238475918769836,0.8429268292682927
7,0.4042969346046448,0.8536585365853658
8,0.38337913155555725,0.8546341463414634
9,0.3669258952140808,0.8546341463414634
10,0.3546523153781891,0.8507317073170731
0,0.6949212551116943,0.526829268292683
1,0.6642879843711853,0.6370731707317073
2,0.6319029927253723,0.7326829268292683
3,0.5984260439872742,0.7697560975609756
4,0.5654785633087158,0.7980487804878049
5,0.5275129079818726,0.824390243902439
6,0.4922352433204651,0.8390243902439024
7,0.4598267078399658,0.8517073170731707
8,0.4291980266571045,0.8321951219512195
9,0.4052155613899231,0.8409756097560975
10,0.3858491778373718,0.8439024390243902
0,0.6289914846420288,0.671219512195122
1,0.590142548084259,0.751219512195122
2,0.5514573454856873,0.7765853658536586
3,0.5153449773788452,0.7951219512195122
4,0.4793032705783844,0.8165853658536585
5,0.44845375418663025,0.8214634146341463
6,0.42313483357429504,0.8253658536585365
7,0.4019486904144287,0.8282926829268292
8,0.3864014446735382,0.8253658536585365
9,0.3748229146003723,0.8282926829268292
10,0.3665080666542053,0.8429268292682927
0,0.698540985584259,0.4897560975609756
1,0.6324586868286133,0.775609756097561
2,0.5745581388473511,0.8253658536585365
3,0.5217893719673157,0.8351219512195122
4,0.4753061830997467,0.8351219512195122
5,0.4371826648712158,0.8419512195121951
6,0.40708959102630615,0.8448780487804878
7,0.3838604688644409,0.8585365853658536
8,0.36606365442276,0.8575609756097561
9,0.35223859548568726,0.8634146341463415
10,0.34111493825912476,0.8663414634146341
0,0.6814034581184387,0.5570731707317074
1,0.6153249144554138,0.7502439024390244
2,0.560383677482605,0.8029268292682927
3,0.5122824311256409,0.8204878048780487
4,0.47080889344215393,0.84
5,0.43667617440223694,0.8497560975609756
6,0.4096643328666687,0.8526829268292683
7,0.3886198103427887,0.8585365853658536
8,0.37202873826026917,0.8614634146341463
9,0.3588528037071228,0.8614634146341463
10,0.34813013672828674,0.8614634146341463
0,0.7076511383056641,0.47024390243902436
1,0.6567509174346924,0.6419512195121951
2,0.6145501732826233,0.7697560975609756
3,0.5763070583343506,0.7951219512195122
4,0.5416397452354431,0.8312195121951219
5,0.5101689696311951,0.8351219512195122
6,0.4811125099658966,0.8468292682926829
7,0.4552515149116516,0.8478048780487805
8,0.43211883306503296,0.8585365853658536
9,0.412222683429718,0.8575609756097561
10,0.39497479796409607,0.8575609756097561
0,0.7102388739585876,0.48
1,0.6793568730354309,0.5209756097560976
2,0.6536566615104675,0.5960975609756097
3,0.6297710537910461,0.7121951219512195
4,0.6077957153320312,0.7804878048780488
5,0.5867623686790466,0.7941463414634147
6,0.566643476486206,0.8117073170731708
7,0.5469114780426025,0.8302439024390244
8,0.5284335017204285,0.8380487804878048
9,0.5104159116744995,0.848780487804878
10,0.49323058128356934,0.8439024390243902
0,0.6998003721237183,0.45951219512195124
1,0.661293625831604,0.7141463414634146
2,0.6256783604621887,0.7785365853658537
3,0.5871551036834717,0.833170731707317
4,0.5452470183372498,0.8429268292682927
5,0.5057143568992615,0.8507317073170731
6,0.4679636061191559,0.855609756097561
7,0.43427082896232605,0.8673170731707317
8,0.40656277537345886,0.864390243902439
9,0.3830694258213043,0.8741463414634146
10,0.36455607414245605,0.8702439024390244
0,0.6817043423652649,0.5960975609756097
1,0.6304918527603149,0.7414634146341463
2,0.5875948071479797,0.7873170731707317
3,0.5477070212364197,0.7990243902439025
4,0.5117026567459106,0.817560975609756
5,0.4800844192504883,0.8263414634146341
6,0.4544510245323181,0.8390243902439024
7,0.4322924017906189,0.848780487804878
8,0.412871390581131,0.8526829268292683
9,0.3965756595134735,0.8565853658536585
10,0.3829372227191925,0.8565853658536585
